seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	8150432	8150706	275	-	ENSP00000314420	ENST00000317276	ENSE00003580480	2	TRUE	1	1290
17	8150219	8150317	99	-	ENSP00000314420	ENST00000317276	ENSE00003662410	3	TRUE	1	1290
17	8149971	8150125	155	-	ENSP00000314420	ENST00000317276	ENSE00003565728	4	TRUE	1	1290
17	8149755	8149876	122	-	ENSP00000314420	ENST00000317276	ENSE00003534537	5	TRUE	1	1290
17	8149462	8149663	202	-	ENSP00000314420	ENST00000317276	ENSE00001236846	6	TRUE	1	1290
17	8149259	8149310	52	-	ENSP00000314420	ENST00000317276	ENSE00001236837	7	TRUE	1	1290
17	8148644	8148786	143	-	ENSP00000314420	ENST00000317276	ENSE00001236833	8	TRUE	1	1290
17	8148181	8148259	79	-	ENSP00000314420	ENST00000317276	ENSE00003669764	9	TRUE	1	1290
17	8147997	8148103	107	-	ENSP00000314420	ENST00000317276	ENSE00003606050	10	TRUE	1	1290
17	8147674	8147827	154	-	ENSP00000314420	ENST00000317276	ENSE00003576605	11	TRUE	1	1290
17	8147470	8147578	109	-	ENSP00000314420	ENST00000317276	ENSE00003465848	12	TRUE	1	1290
17	8147250	8147381	132	-	ENSP00000314420	ENST00000317276	ENSE00001236791	13	TRUE	1	1290
17	8146897	8147002	106	-	ENSP00000314420	ENST00000317276	ENSE00001236764	14	TRUE	1	1290
17	8146594	8146765	172	-	ENSP00000314420	ENST00000317276	ENSE00003571655	15	TRUE	1	1290
17	8146372	8146502	131	-	ENSP00000314420	ENST00000317276	ENSE00003606751	16	TRUE	1	1290
17	8145958	8146137	180	-	ENSP00000314420	ENST00000317276	ENSE00003632663	17	TRUE	1	1290
17	8144751	8144993	243	-	ENSP00000314420	ENST00000317276	ENSE00001709942	18	TRUE	1	1290
17	8143266	8143876	611	-	ENSP00000314420	ENST00000317276	ENSE00001801765	19	TRUE	1	1290
17	8142649	8142835	187	-	ENSP00000314420	ENST00000317276	ENSE00003548421	20	TRUE	1	1290
17	8142269	8142458	190	-	ENSP00000314420	ENST00000317276	ENSE00003631592	21	TRUE	1	1290
17	8141805	8141955	151	-	ENSP00000314420	ENST00000317276	ENSE00003592059	22	TRUE	1	1290
17	8141071	8141340	270	-	ENSP00000314420	ENST00000317276	ENSE00002705737	23	TRUE	1	1290
